x,y,z,dist,time,stochastic_delay,total_time,cum_delay
536,3960,1329,3739,36,0,36,2090
226,2241,2168,3704,36,0,36,2090
112,1154,1239,4165,37,0,37,2090
-9,1287,2526,4680,39,0,39,2090
-14,3001,1801,2471,32,0,32,2090
171,2320,674,2919,33,0,33,2090
241,294,2387,5821,42,0,42,2090
222,2266,898,3059,34,0,34,2090
598,1963,1995,4239,37,0,37,2090
35,2238,2466,3729,36,160,196,2250
468,2567,2570,3911,36,0,36,2250
187,4011,2401,4082,37,0,37,2250
358,2387,1768,3436,35,0,35,2250
-1,741,1396,4530,38,0,38,2250
400,40,58,5474,41,0,41,2250
599,2888,2312,3531,35,0,35,2250
566,2729,692,2907,33,0,33,2250
540,4712,2044,4888,39,20,59,2270
37,3332,503,2429,32,70,102,2340
477,999,226,4558,38,0,38,2340
519,2508,2299,3821,36,0,36,2340
580,4598,1286,4403,38,0,38,2340
-99,4108,2709,4125,37,0,37,2340
185,4301,139,3582,35,0,35,2340
-90,40,1152,5045,40,0,40,2340
-59,3056,598,2059,31,0,31,2340
385,1725,1960,4242,37,0,37,2340
590,4670,1843,4769,39,20,59,2360
95,2687,1893,2948,33,0,33,2360
591,3847,2194,4175,37,0,37,2360
101,4726,1560,4178,37,0,37,2360
387,1057,1042,4470,38,0,38,2360
532,2042,2672,4578,38,0,38,2360
132,1245,596,3949,36,0,36,2360
-50,3374,291,2396,32,0,32,2360
403,3558,1238,3167,34,160,194,2520
559,4429,446,4048,37,0,37,2520
267,2736,358,2596,32,0,32,2520
377,4885,2181,4990,39,0,39,2520
369,369,518,5060,40,0,40,2520
564,4004,488,3628,35,0,35,2520
577,3382,293,3030,34,0,34,2520
53,810,946,4358,38,0,38,2520
18,4257,4,3402,35,70,105,2590
326,4711,456,4097,37,0,37,2590
26,91,2239,5703,42,0,42,2590
76,1179,2205,4641,38,0,38,2590
394,4796,1646,4587,38,0,38,2590
597,280,840,5409,41,0,41,2590
412,2211,2284,4001,37,0,37,2590
394,2224,1890,3708,36,0,36,2590
576,72,1097,5661,41,0,41,2590
338,1684,1664,4060,37,0,37,2590
476,1473,1887,4539,38,0,38,2590
-93,2703,2159,2917,33,0,33,2590
38,3634,2719,3796,36,0,36,2590
414,3099,1675,2925,33,0,33,2590
125,3890,284,3088,34,0,34,2590
367,1792,2643,4640,38,0,38,2590
